id,created_at,updated_at,capacity,day_id,user_id,bike_id
1,2024-11-18 17:03:06,2024-11-18 17:03:06,100%,1,4,1
2,2024-11-18 17:03:06,2024-11-18 17:03:06,75%,1,5,2
3,2024-11-18 17:03:06,2024-11-18 17:03:06,drunk,1,6,3
4,2024-11-18 17:03:06,2024-11-18 17:03:06,sick,2,4,1
5,2024-11-18 17:03:06,2024-11-18 17:03:06,tired,2,5,3
6,2024-11-18 17:03:06,2024-11-18 17:03:06,100%,2,6,2
7,2024-11-18 17:03:06,2024-11-18 17:03:06,10%,3,4,2
8,2024-11-18 17:03:06,2024-11-18 17:03:06,100%,3,5,3
9,2024-11-18 17:03:06,2024-11-18 17:03:06,100%,3,6,1
10,2024-11-18 17:03:06,2024-11-18 17:03:06,100%,4,4,2
11,2024-11-18 17:03:06,2024-11-18 17:03:06,10%,4,5,1
12,2024-11-18 17:03:06,2024-11-18 17:03:06,100%,4,6,3
13,2024-11-18 17:03:06,2024-11-18 17:03:06,100%,5,4,3
14,2024-11-18 17:03:06,2024-11-18 17:03:06,100%,5,5,1
15,2024-11-18 17:03:06,2024-11-18 17:03:06,10%,5,6,2
