id,created_at,updated_at,name,postal_code,outward_code,inward_code,area,district,sector,unit
1,2024-11-18 08:48:18,2024-11-18 08:48:18,N1,,,,,,,
2,2024-11-18 08:48:18,2024-11-18 08:48:18,N4,,,,,,,
3,2024-11-18 08:48:18,2024-11-18 08:48:18,N5,,,,,,,
4,2024-11-18 08:48:18,2024-11-18 08:48:18,N7,,,,,,,
5,2024-11-18 08:48:18,2024-11-18 08:48:18,N16,,,,,,,
6,2024-11-18 08:48:18,2024-11-18 08:48:18,N19,,,,,,,
7,2024-11-18 08:48:18,2024-11-18 08:48:18,W1,,,,,,,
8,2024-11-18 08:48:18,2024-11-18 08:48:18,NW1,,,,,,,
9,2024-11-18 08:48:18,2024-11-18 08:48:18,NW5,,,,,,,
10,2024-11-18 08:48:18,2024-11-18 08:48:18,WC1,,,,,,,
11,2024-11-18 08:48:18,2024-11-18 08:48:18,WC2,,,,,,,
12,2024-11-18 08:48:18,2024-11-18 08:48:18,EC1,,,,,,,
13,2024-11-18 08:48:18,2024-11-18 08:48:18,EC2,,,,,,,
14,2024-11-18 08:48:18,2024-11-18 08:48:18,EC3,,,,,,,
15,2024-11-18 08:48:18,2024-11-18 08:48:18,EC4,,,,,,,
16,2024-11-18 08:48:18,2024-11-18 08:48:18,E1,,,,,,,
17,2024-11-18 08:48:18,2024-11-18 08:48:18,E2,,,,,,,
18,2024-11-18 08:48:18,2024-11-18 08:48:18,E5,,,,,,,
19,2024-11-18 08:48:18,2024-11-18 08:48:18,E8,,,,,,,
20,2024-11-18 08:48:18,2024-11-18 08:48:18,E9,,,,,,,
