id,created_at,updated_at,client_id,package_type_id,price
1,2024-01-10 11:31:28,2024-01-10 11:31:28,1,2,111
2,2024-01-10 11:31:28,2024-01-10 11:31:28,1,4,222
3,2024-01-10 11:31:28,2024-01-10 11:31:28,1,6,333
4,2024-01-10 11:31:28,2024-01-10 11:31:28,1,8,444
5,2024-01-10 11:31:28,2024-01-10 11:31:28,1,10,555
6,2024-01-10 11:31:28,2024-01-10 11:31:28,2,1,666
7,2024-01-10 11:31:28,2024-01-10 11:31:28,2,3,777
8,2024-01-10 11:31:28,2024-01-10 11:31:28,2,5,888
9,2024-01-10 11:31:28,2024-01-10 11:31:28,2,7,999
10,2024-01-10 11:31:28,2024-01-10 11:31:28,2,9,1010
