area,created_at,district,id,inward_code,name,outward_code,postal_code,sector,unit,updated_at
,2024-10-25 09:58:01,,1,,N1,,,,,2024-10-25 09:58:01
,2024-10-25 09:58:01,,2,,N4,,,,,2024-10-25 09:58:01
,2024-10-25 09:58:01,,3,,N5,,,,,2024-10-25 09:58:01
,2024-10-25 09:58:01,,4,,N7,,,,,2024-10-25 09:58:01
,2024-10-25 09:58:01,,5,,N16,,,,,2024-10-25 09:58:01
,2024-10-25 09:58:01,,6,,N19,,,,,2024-10-25 09:58:01
,2024-10-25 09:58:01,,7,,W1,,,,,2024-10-25 09:58:01
,2024-10-25 09:58:01,,8,,NW1,,,,,2024-10-25 09:58:01
,2024-10-25 09:58:01,,9,,NW5,,,,,2024-10-25 09:58:01
,2024-10-25 09:58:01,,10,,WC1,,,,,2024-10-25 09:58:01
,2024-10-25 09:58:01,,11,,WC2,,,,,2024-10-25 09:58:01
,2024-10-25 09:58:01,,12,,EC1,,,,,2024-10-25 09:58:01
,2024-10-25 09:58:01,,13,,EC2,,,,,2024-10-25 09:58:01
,2024-10-25 09:58:01,,14,,EC3,,,,,2024-10-25 09:58:01
,2024-10-25 09:58:01,,15,,EC4,,,,,2024-10-25 09:58:01
,2024-10-25 09:58:01,,16,,E1,,,,,2024-10-25 09:58:01
,2024-10-25 09:58:01,,17,,E2,,,,,2024-10-25 09:58:01
,2024-10-25 09:58:01,,18,,E5,,,,,2024-10-25 09:58:01
,2024-10-25 09:58:01,,19,,E8,,,,,2024-10-25 09:58:01
,2024-10-25 09:58:01,,20,,E9,,,,,2024-10-25 09:58:01
